cliente_id,monto,fecha,tipo_operacion,sector_actividad,fraccion,EsEfectivo,EsInternacional,SectorAltoRiesgo,fin_de_semana,es_nocturno,es_monto_redondo,frecuencia_mensual,mes,dia_semana,quincena,monto_6m,ops_6m,monto_max_6m,monto_std_6m,ops_relativas,diversidad_operaciones,concentracion_temporal,ratio_vs_promedio,posible_burst,clasificacion_lfpiorpi
CLT10074,99199.67,2025-04-01,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,1,4,1,0,99199.67,1.0,99199.67,0.0,0.0006666666666666666,0.0,0.0,1.0,0,inusual
CLT10221,13391.68,2025-10-19,tarjeta,inmobiliaria,V_inmuebles,0,0,0,1,1,0,1,10,6,0,13391.68,1.0,13391.68,0.0,0.0006666666666666666,0.0,0.0,1.0,0,relevante
CLT10282,79003.73,2024-12-13,tarjeta,joyeria_metales,XI_joyeria,0,0,0,0,1,0,1,12,4,1,79003.73,1.0,79003.73,0.0,0.0006666666666666666,0.0,0.0,1.0,0,inusual
CLT10425,6220.72,2025-02-03,tarjeta,automotriz,VIII_vehiculos,0,0,0,0,1,0,4,2,0,0,6220.72,1.0,6220.72,0.0,0.0026666666666666666,1.0397207708399179,45.39089482851526,0.2240518875807502,0,relevante
CLT10425,331.19,2025-05-06,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,0,1,0,4,5,1,0,6551.91,2.0,6220.72,4164.526601001608,0.0026666666666666666,1.0397207708399179,45.39089482851526,0.011928481694702326,0,inusual
CLT10425,96846.95,2025-06-07,tarjeta,automotriz,VIII_vehiculos,0,0,0,1,1,0,4,6,5,0,103398.86,3.0,96846.95,54103.4380546674,0.0026666666666666666,1.0397207708399179,45.39089482851526,3.4881399506710693,0,inusual
CLT10425,7659.7,2025-10-06,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,0,1,0,4,10,0,0,104837.84,3.0,96846.95,53732.92682294565,0.0026666666666666666,1.0397207708399179,45.39089482851526,0.27587968005347807,0,preocupante
CLT10726,3807.95,2025-01-31,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,0,1,0,3,1,4,0,3807.95,1.0,3807.95,0.0,0.002,0.0,101.82337649086284,0.052132664221759856,0,relevante
CLT10726,74876.5,2025-08-19,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,0,1,0,3,8,1,0,74876.5,1.0,74876.5,0.0,0.002,0.0,101.82337649086284,1.0250952435301415,0,inusual
CLT10726,140445.92,2025-10-14,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,0,1,0,3,10,1,1,215322.42,2.0,140445.92,46364.58152046885,0.002,0.0,101.82337649086284,1.9227720922480989,0,inusual
CLT10772,50541.87,2024-11-16,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,1,1,0,5,11,5,1,50541.87,1.0,50541.87,0.0,0.0033333333333333335,1.3321790402101223,45.073088792907605,1.5363488388380453,0,inusual
CLT10772,55746.53,2025-03-10,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,0,1,0,5,3,0,0,106288.4,2.0,55746.53,3680.250379770376,0.0033333333333333335,1.3321790402101223,45.073088792907605,1.6945577327223993,0,preocupante
CLT10772,12185.38,2025-05-28,efectivo,joyeria_metales,XI_joyeria,1,0,0,0,1,0,5,5,2,0,67931.91,2.0,55746.53,30802.384561284372,0.0033333333333333335,1.3321790402101223,45.073088792907605,0.37040565404090386,0,relevante
CLT10772,38279.06,2025-06-07,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,1,1,0,5,6,5,0,106210.97,3.0,55746.53,21922.463492446128,0.0033333333333333335,1.3321790402101223,45.073088792907605,1.1635895027788221,0,preocupante
CLT10772,7734.12,2025-07-19,efectivo,traslado_valores,X_traslado_valores,1,0,1,1,1,0,5,7,5,0,113945.09,4.0,55746.53,22622.932728143172,0.0033333333333333335,1.3321790402101223,45.073088792907605,0.23509827161982932,0,inusual
CLT11025,131366.45,2025-04-13,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,1,1,0,1,4,6,1,131366.45,1.0,131366.45,0.0,0.0006666666666666666,0.0,0.0,1.0,0,preocupante
CLT11220,69811.7,2025-03-23,tarjeta,joyeria_metales,XI_joyeria,0,0,0,1,1,0,2,3,6,0,69811.7,1.0,69811.7,0.0,0.0013333333333333333,0.6931471805599453,0.0,1.617577104137129,0,inusual
CLT11220,16504.68,2025-09-29,transferencia_internacional,joyeria_metales,XI_joyeria,0,1,0,0,1,0,2,9,0,0,16504.68,1.0,16504.68,0.0,0.0013333333333333333,0.6931471805599453,0.0,0.382422895862871,0,inusual
CLT11267,64487.28,2025-01-21,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,0,1,0,3,1,1,0,64487.28,1.0,64487.28,0.0,0.002,0.6365141682948128,55.86143571373726,0.8895000497252741,0,inusual
CLT11267,41703.8,2025-01-24,tarjeta,traslado_valores,X_traslado_valores,0,0,1,0,1,0,3,1,4,0,106191.08,2.0,64487.28,16110.353207028078,0.002,0.6365141682948128,55.86143571373726,0.575237972104466,0,inusual
CLT11267,111303.95,2025-04-16,tarjeta,automotriz,VIII_vehiculos,0,0,0,0,1,0,3,4,2,1,217495.03,3.0,111303.95,35484.89920802415,0.002,0.6365141682948128,55.86143571373726,1.5352619781702597,0,inusual
CLT11330,4048547.39,2025-01-05,transferencia_internacional,joyeria_metales,XI_joyeria,0,1,0,1,1,0,1,1,6,0,4048547.39,1.0,4048547.39,0.0,0.0006666666666666666,0.0,0.0,1.0,0,preocupante
CLT11504,1736.32,2024-11-24,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,1,1,0,4,11,6,0,1736.32,1.0,1736.32,0.0,0.0026666666666666666,1.0397207708399179,89.3662874541252,0.001826767573747724,0,inusual
CLT11504,3697103.59,2025-05-14,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,0,1,0,4,5,2,1,3698839.9099999997,2.0,3697103.59,2613019.2555918195,0.0026666666666666666,1.0397207708399179,89.3662874541252,3.8896913904109267,0,preocupante
CLT11504,94603.34,2025-05-20,tarjeta,traslado_valores,X_traslado_valores,0,0,1,0,1,0,4,5,1,0,3793443.2499999995,3.0,3697103.59,2107224.540908451,0.0026666666666666666,1.0397207708399179,89.3662874541252,0.09953137318019202,0,preocupante
CLT11504,8507.31,2025-10-15,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,0,1,0,4,10,2,1,3800214.2399999998,3.0,3697103.59,2105198.45044205,0.0026666666666666666,1.0397207708399179,89.3662874541252,0.008950468835133932,0,preocupante
CLT11607,665.16,2025-01-16,efectivo,inmobiliaria,V_inmuebles,1,0,0,0,1,0,1,1,3,1,665.16,1.0,665.16,0.0,0.0006666666666666666,0.0,0.0,1.0,0,relevante
CLT11854,4275303.57,2024-12-28,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,1,1,0,5,12,5,0,4275303.57,1.0,4275303.57,0.0,0.0033333333333333335,0.9502705392332347,47.275786614291256,4.8219747427400295,0,preocupante
CLT11854,31563.78,2025-01-26,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,1,1,0,5,1,6,0,4306867.350000001,2.0,4275303.57,3000777.1831001756,0.0033333333333333335,0.9502705392332347,47.275786614291256,0.03559975273180493,0,preocupante
CLT11854,39159.24,2025-02-21,efectivo,automotriz,VIII_vehiculos,1,0,0,0,1,0,5,2,4,0,4346026.59,3.0,4275303.57,2447934.635593613,0.0033333333333333335,0.9502705392332347,47.275786614291256,0.04416642306990496,0,preocupante
CLT11854,10152.8,2025-06-26,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,0,1,0,5,6,3,0,80875.81999999999,3.0,39159.24,15041.579253600135,0.0033333333333333335,0.9502705392332347,47.275786614291256,0.01145101028886493,0,inusual
CLT11854,76966.57,2025-08-03,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,1,1,0,5,8,6,0,126278.61,3.0,76966.57,33503.352132843276,0.0033333333333333335,0.9502705392332347,47.275786614291256,0.08680807116939593,0,inusual
CLT11934,40889.79,2025-04-26,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,1,1,0,2,4,5,0,40889.79,1.0,40889.79,0.0,0.0013333333333333333,0.6931471805599453,0.0,0.5844496989761286,0,relevante
CLT11934,99035.99,2025-06-25,tarjeta,inmobiliaria,V_inmuebles,0,0,0,0,1,0,2,6,2,0,139925.78,2.0,99035.99,41115.572320229236,0.0013333333333333333,0.6931471805599453,0.0,1.4155503010238715,0,inusual
CLT12260,7820.47,2025-04-21,tarjeta,automotriz,VIII_vehiculos,0,0,0,0,1,0,1,4,0,0,7820.47,1.0,7820.47,0.0,0.0006666666666666666,0.0,0.0,1.0,0,relevante
CLT12540,30507.54,2025-09-11,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,0,1,0,1,9,3,0,30507.54,1.0,30507.54,0.0,0.0006666666666666666,0.0,0.0,1.0,0,relevante
CLT12552,4657.55,2025-05-29,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,0,1,0,2,5,3,0,4657.55,1.0,4657.55,0.0,0.0013333333333333333,0.6931471805599453,0.0,0.9438824106386515,0,relevante
CLT12552,5211.37,2025-10-07,tarjeta,traslado_valores,X_traslado_valores,0,0,1,0,1,0,2,10,1,0,9868.92,2.0,5211.37,391.6098775567335,0.0013333333333333333,0.6931471805599453,0.0,1.0561175893613486,0,inusual
CLT12560,105163.25,2025-04-10,tarjeta,automotriz,VIII_vehiculos,0,0,0,0,1,0,2,4,3,0,105163.25,1.0,105163.25,0.0,0.0013333333333333333,0.6931471805599453,0.0,1.668018439948156,0,inusual
