cliente_id,monto,fecha,tipo_operacion,sector_actividad,fraccion,EsEfectivo,EsInternacional,SectorAltoRiesgo,frecuencia_mensual,mes,dia_semana,quincena,monto_6m,ops_6m,clasificacion_lfpiorpi
CLT10074,99199.67,2025-03-31,efectivo,inmobiliaria,V_inmuebles,1,0,0,1,3,0,0,99199.67,1,relevante
CLT10221,13391.68,2025-10-18,tarjeta,inmobiliaria,V_inmuebles,0,0,0,1,10,5,0,13391.68,1,relevante
CLT10282,79003.73,2024-12-12,tarjeta,joyeria_metales,XI_joyeria,0,0,0,1,12,3,0,79003.73,1,relevante
CLT10425,6220.72,2025-02-02,tarjeta,automotriz,VIII_vehiculos,0,0,0,4,2,6,0,6220.72,1,relevante
CLT10425,331.19,2025-05-05,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,4,5,0,0,6551.91,2,inusual
CLT10425,96846.95,2025-06-06,tarjeta,automotriz,VIII_vehiculos,0,0,0,4,6,4,0,103398.86,3,inusual
CLT10425,7659.7,2025-10-05,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,4,10,6,0,104837.84,3,preocupante
CLT10726,3807.95,2025-01-30,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,3,1,3,0,3807.95,1,relevante
CLT10726,74876.5,2025-08-18,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,3,8,0,0,74876.5,1,relevante
CLT10726,140445.92,2025-10-13,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,3,10,0,1,215322.42,2,inusual
CLT10772,50541.87,2024-11-15,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,5,11,4,1,50541.87,1,inusual
CLT10772,55746.53,2025-03-09,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,5,3,6,0,106288.4,2,preocupante
CLT10772,12185.38,2025-05-27,efectivo,joyeria_metales,XI_joyeria,1,0,0,5,5,1,0,67931.91,2,relevante
CLT10772,38279.06,2025-06-06,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,5,6,4,0,106210.97,3,preocupante
CLT10772,7734.12,2025-07-18,efectivo,traslado_valores,X_traslado_valores,1,0,1,5,7,4,0,113945.09,4,inusual
CLT11025,131366.45,2025-04-12,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,1,4,5,0,131366.45,1,preocupante
CLT11220,69811.7,2025-03-22,tarjeta,joyeria_metales,XI_joyeria,0,0,0,2,3,5,0,69811.7,1,relevante
CLT11220,16504.68,2025-09-28,transferencia_internacional,joyeria_metales,XI_joyeria,0,1,0,2,9,6,0,16504.68,1,inusual
CLT11267,64487.28,2025-01-20,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,3,1,0,0,64487.28,1,inusual
CLT11267,41703.8,2025-01-23,tarjeta,traslado_valores,X_traslado_valores,0,0,1,3,1,3,0,106191.08,2,inusual
CLT11267,111303.95,2025-04-15,tarjeta,automotriz,VIII_vehiculos,0,0,0,3,4,1,1,217495.03,3,inusual
CLT11330,4048547.39,2025-01-04,transferencia_internacional,joyeria_metales,XI_joyeria,0,1,0,1,1,5,0,4048547.39,1,preocupante
CLT11504,1736.32,2024-11-23,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,4,11,5,0,1736.32,1,inusual
CLT11504,3697103.59,2025-05-13,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,4,5,1,1,3698839.9099999997,2,preocupante
CLT11504,94603.34,2025-05-19,tarjeta,traslado_valores,X_traslado_valores,0,0,1,4,5,0,0,3793443.2499999995,3,preocupante
CLT11504,8507.31,2025-10-14,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,4,10,1,1,3800214.2399999998,3,preocupante
CLT11607,665.16,2025-01-15,efectivo,inmobiliaria,V_inmuebles,1,0,0,1,1,2,1,665.16,1,relevante
CLT11854,4275303.57,2024-12-27,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,5,12,4,0,4275303.57,1,preocupante
CLT11854,31563.78,2025-01-25,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,5,1,5,0,4306867.350000001,2,preocupante
CLT11854,39159.24,2025-02-20,efectivo,automotriz,VIII_vehiculos,1,0,0,5,2,3,0,4346026.59,3,preocupante
CLT11854,10152.8,2025-06-25,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,5,6,2,0,80875.81999999999,3,inusual
CLT11854,76966.57,2025-08-02,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,5,8,5,0,126278.61,3,inusual
CLT11934,40889.79,2025-04-25,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,2,4,4,0,40889.79,1,relevante
CLT11934,99035.99,2025-06-24,tarjeta,inmobiliaria,V_inmuebles,0,0,0,2,6,1,0,139925.78,2,relevante
CLT12260,7820.47,2025-04-20,tarjeta,automotriz,VIII_vehiculos,0,0,0,1,4,6,0,7820.47,1,relevante
CLT12540,30507.54,2025-09-10,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,1,9,2,0,30507.54,1,relevante
CLT12552,4657.55,2025-05-28,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,2,5,2,0,4657.55,1,relevante
CLT12552,5211.37,2025-10-06,tarjeta,traslado_valores,X_traslado_valores,0,0,1,2,10,0,0,9868.92,2,inusual
