cliente_id,monto,fecha,tipo_operacion,sector_actividad,frecuencia_mensual,EsEfectivo,EsInternacional,SectorAltoRiesgo,fecha_dt,mes,dia_semana,fin_de_mes,quincena,MontoRelevante,EsEstructurada,fraccion,umbral_aviso_mxn,limite_efectivo_mxn,umbral_aviso_mxn_missing_cfg,limite_efectivo_mxn_missing_cfg,monto_6m,ops_6m,Acum6mAlcanzaAviso,clasificacion_lfpiorpi
CLT10053,59028.59,2025-01-29,efectivo,activos_virtuales,2,1,0,1,2025-01-29,1,2,0,0,1,0,XVI_activos_virtuales,23759.4,1000000000000.0,0,1,59028.59,1,0,preocupante
CLT10053,6762.21,2025-08-14,efectivo,arte_antiguedades,2,1,0,0,2025-08-14,8,3,0,1,0,0,arte_antiguedades,1000000000000.0,1000000000000.0,1,1,6762.21,1,0,relevante
CLT10074,157985.0,2024-12-15,tarjeta,inmobiliaria,5,0,0,0,2024-12-15,12,6,0,1,0,0,V_inmuebles,907948.5,907948.5,0,0,157985.0,1,0,relevante
CLT10074,86217.12,2025-01-27,tarjeta,inmobiliaria,5,0,0,0,2025-01-27,1,0,0,0,0,0,V_inmuebles,907948.5,907948.5,0,0,244202.12,2,0,relevante
CLT10074,37401.81,2024-11-26,transferencia_nacional,joyeria_metales,5,0,0,0,2024-11-26,11,1,0,0,0,0,XI_joyeria,363179.4,363179.4,0,0,37401.81,1,0,relevante
CLT10074,38729.52,2025-05-05,transferencia_nacional,activos_virtuales,5,0,0,1,2025-05-05,5,0,0,0,1,0,XVI_activos_virtuales,23759.4,1000000000000.0,0,1,38729.52,1,0,preocupante
CLT10074,91555.91,2024-11-08,tarjeta,traslado_valores,5,0,0,1,2024-11-08,11,4,0,0,0,0,X_traslado_valores,363179.4,363179.4,0,0,91555.91,1,0,inusual
CLT10150,26186.22,2024-11-17,tarjeta,inmobiliaria,2,0,0,0,2024-11-17,11,6,0,1,0,0,V_inmuebles,907948.5,907948.5,0,0,26186.22,1,0,relevante
CLT10150,31968.8,2025-10-31,efectivo,transmision_dinero,2,1,0,0,2025-10-31,10,4,1,0,0,0,transmision_dinero,1000000000000.0,1000000000000.0,1,1,31968.8,1,0,relevante
CLT10205,139416.37,2025-04-25,transferencia_nacional,traslado_valores,3,0,0,1,2025-04-25,4,4,0,0,0,0,X_traslado_valores,363179.4,363179.4,0,0,139416.37,1,0,inusual
CLT10205,22581.84,2025-07-11,tarjeta,servicios_financieros,3,0,0,0,2025-07-11,7,4,0,0,0,0,servicios_financieros,1000000000000.0,1000000000000.0,1,1,22581.84,1,0,relevante
CLT10205,3050.72,2025-07-17,efectivo,servicios_financieros,3,1,0,0,2025-07-17,7,3,0,1,0,0,servicios_financieros,1000000000000.0,1000000000000.0,1,1,25632.56,2,0,relevante
CLT10221,5531.52,2025-10-11,transferencia_nacional,joyeria_metales,2,0,0,0,2025-10-11,10,5,0,0,0,0,XI_joyeria,363179.4,363179.4,0,0,5531.52,1,0,relevante
CLT10221,98601.13,2024-11-26,transferencia_nacional,traslado_valores,2,0,0,1,2024-11-26,11,1,0,0,0,0,X_traslado_valores,363179.4,363179.4,0,0,98601.13,1,0,inusual
CLT10282,158595.14,2025-08-09,efectivo,traslado_valores,1,1,0,1,2025-08-09,8,5,0,0,0,0,X_traslado_valores,363179.4,363179.4,0,0,158595.14,1,0,inusual
CLT10336,51354.77,2024-12-03,efectivo,activos_virtuales,5,1,0,1,2024-12-03,12,1,0,0,1,0,XVI_activos_virtuales,23759.4,1000000000000.0,0,1,51354.77,1,0,preocupante
CLT10336,157541.46,2024-12-12,efectivo,activos_virtuales,5,1,0,1,2024-12-12,12,3,0,0,1,0,XVI_activos_virtuales,23759.4,1000000000000.0,0,1,208896.22999999998,2,0,preocupante
CLT10336,86285.25,2025-01-01,tarjeta,activos_virtuales,5,0,0,1,2025-01-01,1,2,0,0,1,0,XVI_activos_virtuales,23759.4,1000000000000.0,0,1,295181.48,3,0,preocupante
CLT10336,20363.93,2025-04-20,tarjeta,casa_cambio,5,0,0,1,2025-04-20,4,6,0,0,0,0,casa_cambio,1000000000000.0,1000000000000.0,1,1,20363.93,1,0,inusual
