cliente_id,monto,fecha,tipo_operacion,sector_actividad,fraccion,EsEfectivo,EsInternacional,SectorAltoRiesgo,frecuencia_mensual,mes,dia_semana,quincena,monto_6m,ops_6m,clasificacion_lfpiorpi
CLT10012,5056.99,2024-11-28,tarjeta,automotriz,VIII_vehiculos,0,0,0,5,11,3,0,5056.99,1,relevante
CLT10012,124986.0,2025-01-07,tarjeta,traslado_valores,X_traslado_valores,0,0,1,5,1,1,0,130042.99,2,inusual
CLT10012,2560.54,2025-02-28,efectivo,traslado_valores,X_traslado_valores,1,0,1,5,2,4,0,132603.53,3,inusual
CLT10012,2645666.84,2025-07-03,tarjeta,traslado_valores,X_traslado_valores,0,0,1,5,7,3,0,2773213.38,3,preocupante
CLT10012,100601.52,2025-08-19,tarjeta,traslado_valores,X_traslado_valores,0,0,1,5,8,1,0,2748828.9,3,preocupante
CLT10022,68002.64,2024-11-12,efectivo,joyeria_metales,XI_joyeria,1,0,0,3,11,1,0,68002.64,1,relevante
CLT10022,4889.59,2025-07-26,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,3,7,5,0,4889.59,1,inusual
CLT10022,16742.34,2025-09-16,tarjeta,inmobiliaria,V_inmuebles,0,0,0,3,9,1,1,21631.93,2,relevante
CLT10024,20962.39,2025-02-28,tarjeta,joyeria_metales,XI_joyeria,0,0,0,2,2,4,0,20962.39,1,relevante
CLT10024,25535.73,2025-07-15,tarjeta,inmobiliaria,V_inmuebles,0,0,0,2,7,1,1,46498.119999999995,2,relevante
CLT10025,65580.16,2024-11-14,tarjeta,traslado_valores,X_traslado_valores,0,0,1,3,11,3,1,65580.16,1,inusual
CLT10025,84398.91,2025-03-02,efectivo,traslado_valores,X_traslado_valores,1,0,1,3,3,6,0,149979.07,2,inusual
CLT10025,8771.75,2025-04-12,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,3,4,5,0,158750.82,3,inusual
CLT10037,132847.46,2025-05-30,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,4,5,4,0,132847.46,1,relevante
CLT10037,3237.01,2025-06-02,tarjeta,inmobiliaria,V_inmuebles,0,0,0,4,6,0,0,136084.47,2,relevante
CLT10037,101987.61,2025-08-17,efectivo,joyeria_metales,XI_joyeria,1,0,0,4,8,6,1,238072.08,3,inusual
CLT10037,14946.39,2025-08-24,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,4,8,6,0,253018.46999999997,4,inusual
CLT10053,160803.46,2025-03-12,efectivo,inmobiliaria,V_inmuebles,1,0,0,3,3,2,0,160803.46,1,relevante
CLT10053,9190.68,2025-04-13,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,3,4,6,1,169994.13999999998,2,inusual
CLT10053,4686.55,2025-09-19,tarjeta,automotriz,VIII_vehiculos,0,0,0,3,9,4,0,13877.23,2,relevante
CLT10074,12168.03,2024-11-22,tarjeta,inmobiliaria,V_inmuebles,0,0,0,7,11,4,0,12168.03,1,relevante
CLT10074,64564.85,2025-01-14,efectivo,automotriz,VIII_vehiculos,1,0,0,7,1,1,1,76732.88,2,relevante
CLT10074,70949.27,2025-06-07,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,7,6,5,0,135514.12,2,preocupante
CLT10074,99495.7,2025-07-02,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,7,7,2,0,235009.82,3,preocupante
CLT10074,18640.4,2025-08-01,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,7,8,4,0,189085.37,3,inusual
CLT10074,1850.41,2025-09-19,efectivo,traslado_valores,X_traslado_valores,1,0,1,7,9,4,0,190935.78,4,inusual
CLT10074,119016.29,2025-10-16,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,7,10,3,1,309952.06999999995,5,preocupante
CLT10088,52008.35,2024-12-06,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,4,12,4,0,52008.35,1,relevante
CLT10088,101468.48,2025-02-09,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,4,2,6,0,153476.83,2,inusual
CLT10088,141321.16,2025-03-20,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,4,3,3,0,294797.99,3,inusual
CLT10088,31472.36,2025-07-19,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,4,7,5,0,274262.0,3,inusual
CLT10089,143257.99,2025-01-13,tarjeta,inmobiliaria,V_inmuebles,0,0,0,3,1,0,1,143257.99,1,relevante
CLT10089,36443.16,2025-03-12,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,3,3,2,0,179701.15,2,preocupante
CLT10089,31500.78,2025-07-09,tarjeta,inmobiliaria,V_inmuebles,0,0,0,3,7,2,0,211201.93,3,inusual
CLT10094,45949.97,2025-04-19,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,3,4,5,0,45949.97,1,relevante
CLT10094,51679.63,2025-07-31,tarjeta,automotriz,VIII_vehiculos,0,0,0,3,7,3,0,97629.6,2,relevante
CLT10094,69472.17,2025-09-29,tarjeta,inmobiliaria,V_inmuebles,0,0,0,3,9,0,0,167101.77,3,inusual
CLT10110,39649.51,2025-01-31,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,4,1,4,0,39649.51,1,relevante
CLT10110,155.75,2025-05-14,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,4,5,2,1,39805.26,2,relevante
CLT10110,955.61,2025-07-14,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,4,7,0,1,40760.87,3,inusual
CLT10110,78230.74,2025-09-03,efectivo,inmobiliaria,V_inmuebles,1,0,0,4,9,2,0,79342.1,3,inusual
CLT10142,110009.35,2024-11-10,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,4,11,6,0,110009.35,1,inusual
CLT10142,37820.65,2025-02-24,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,4,2,0,0,147830.0,2,preocupante
CLT10142,116206.06,2025-06-12,tarjeta,joyeria_metales,XI_joyeria,0,0,0,4,6,3,0,154026.71,2,relevante
CLT10142,8838.9,2025-09-22,efectivo,activos_virtuales,XVI_activos_virtuales,1,0,1,4,9,0,0,125044.95999999999,2,preocupante
CLT10150,512537.46,2024-12-04,tarjeta,joyeria_metales,XI_joyeria,0,0,0,3,12,2,0,512537.46,1,preocupante
CLT10150,2585.58,2024-12-23,transferencia_internacional,traslado_valores,X_traslado_valores,0,1,1,3,12,0,0,515123.04000000004,2,preocupante
CLT10150,911.49,2025-06-27,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,3,6,4,0,911.49,1,relevante
CLT10157,45288.5,2024-11-12,efectivo,activos_virtuales,XVI_activos_virtuales,1,0,1,2,11,1,0,45288.5,1,preocupante
CLT10157,9544.36,2024-11-15,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,2,11,4,1,54832.86,2,preocupante
CLT10167,16523.92,2024-12-18,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,4,12,2,0,16523.92,1,inusual
CLT10167,119586.75,2024-12-29,tarjeta,traslado_valores,X_traslado_valores,0,0,1,4,12,6,0,136110.66999999998,2,inusual
CLT10167,129299.04,2025-04-04,efectivo,traslado_valores,X_traslado_valores,1,0,1,4,4,4,0,265409.70999999996,3,inusual
CLT10167,127311.25,2025-10-15,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,4,10,2,1,127311.25,1,relevante
CLT10191,24153.32,2024-11-13,efectivo,joyeria_metales,XI_joyeria,1,0,0,6,11,2,1,24153.32,1,relevante
CLT10191,1912253.14,2024-12-10,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,6,12,1,0,1936406.46,2,preocupante
CLT10191,67943.28,2024-12-11,tarjeta,joyeria_metales,XI_joyeria,0,0,0,6,12,2,0,2004349.74,3,preocupante
CLT10191,162763.13,2025-07-22,efectivo,automotriz,VIII_vehiculos,1,0,0,6,7,1,0,162763.13,1,relevante
CLT10191,21900.53,2025-09-22,efectivo,automotriz,VIII_vehiculos,1,0,0,6,9,0,0,184663.66,2,relevante
CLT10191,84918.94,2025-10-24,efectivo,traslado_valores,X_traslado_valores,1,0,1,6,10,4,0,269582.6,3,inusual
CLT10205,30690.76,2024-11-29,efectivo,activos_virtuales,XVI_activos_virtuales,1,0,1,1,11,4,0,30690.76,1,preocupante
CLT10207,23493.18,2025-02-03,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,2,2,0,0,23493.18,1,inusual
CLT10207,81200.22,2025-03-29,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,2,3,5,0,104693.4,2,preocupante
CLT10221,3162.15,2024-12-01,efectivo,activos_virtuales,XVI_activos_virtuales,1,0,1,4,12,6,0,3162.15,1,inusual
CLT10221,36890.86,2025-01-07,tarjeta,traslado_valores,X_traslado_valores,0,0,1,4,1,1,0,40053.01,2,inusual
CLT10221,1854753.59,2025-02-13,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,4,2,3,1,1894806.6,3,preocupante
CLT10221,139618.04,2025-08-05,efectivo,traslado_valores,X_traslado_valores,1,0,1,4,8,1,0,1994371.6300000001,2,preocupante
CLT10235,148912.61,2025-03-26,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,5,3,2,0,148912.61,1,preocupante
CLT10235,4496.07,2025-04-03,tarjeta,traslado_valores,X_traslado_valores,0,0,1,5,4,3,0,153408.68,2,inusual
CLT10235,30508.58,2025-04-26,tarjeta,inmobiliaria,V_inmuebles,0,0,0,5,4,5,0,183917.25999999998,3,inusual
CLT10235,106723.17,2025-07-13,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,5,7,6,1,290640.43,4,preocupante
CLT10235,23443.14,2025-09-24,transferencia_internacional,automotriz,VIII_vehiculos,0,1,0,5,9,2,0,165170.96000000002,4,inusual
CLT10282,47858.91,2025-01-19,tarjeta,inmobiliaria,V_inmuebles,0,0,0,3,1,6,0,47858.91,1,relevante
CLT10282,96078.4,2025-09-12,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,3,9,4,0,96078.4,1,preocupante
CLT10282,56709.99,2025-10-12,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,3,10,6,0,152788.38999999998,2,preocupante
CLT10287,122066.8,2024-12-03,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,2,12,1,0,122066.8,1,preocupante
CLT10287,129721.86,2025-04-27,transferencia_internacional,joyeria_metales,XI_joyeria,0,1,0,2,4,6,0,251788.66,2,inusual
CLT10324,2395.82,2025-01-16,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,3,1,3,1,2395.82,1,relevante
CLT10324,29001.51,2025-04-30,efectivo,inmobiliaria,V_inmuebles,1,0,0,3,4,2,0,31397.329999999998,2,relevante
CLT10324,2239.87,2025-09-16,tarjeta,joyeria_metales,XI_joyeria,0,0,0,3,9,1,1,31241.379999999997,2,relevante
CLT10336,99674.08,2024-11-22,tarjeta,joyeria_metales,XI_joyeria,0,0,0,9,11,4,0,99674.08,1,relevante
CLT10336,25933.44,2024-12-24,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,9,12,1,0,125607.52,2,relevante
CLT10336,109462.25,2025-01-19,tarjeta,inmobiliaria,V_inmuebles,0,0,0,9,1,6,0,235069.77000000002,3,inusual
CLT10336,140293.0,2025-01-28,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,9,1,1,0,375362.77,4,preocupante
CLT10336,3028.64,2025-02-19,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,9,2,2,0,378391.41000000003,5,preocupante
CLT10336,9232.52,2025-03-09,efectivo,joyeria_metales,XI_joyeria,1,0,0,9,3,6,0,387623.93,6,preocupante
CLT10336,4013786.04,2025-06-18,tarjeta,traslado_valores,X_traslado_valores,0,0,1,9,6,2,0,4301735.89,6,preocupante
CLT10336,59316.49,2025-08-26,efectivo,activos_virtuales,XVI_activos_virtuales,1,0,1,9,8,1,0,4082335.0500000003,3,preocupante
CLT10336,38522.18,2025-10-27,efectivo,inmobiliaria,V_inmuebles,1,0,0,9,10,0,0,4111624.71,3,preocupante
CLT10350,153493.11,2025-02-11,efectivo,inmobiliaria,V_inmuebles,1,0,0,3,2,1,0,153493.11,1,relevante
CLT10350,168830.48,2025-08-27,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,3,8,2,0,168830.48,1,relevante
CLT10350,3088.76,2025-09-29,efectivo,activos_virtuales,XVI_activos_virtuales,1,0,1,3,9,0,0,171919.24000000002,2,preocupante
CLT10371,52995.18,2024-11-13,tarjeta,traslado_valores,X_traslado_valores,0,0,1,5,11,2,1,52995.18,1,inusual
CLT10371,1757.49,2024-11-18,tarjeta,automotriz,VIII_vehiculos,0,0,0,5,11,0,0,54752.67,2,relevante
CLT10371,156761.72,2025-04-04,tarjeta,activos_virtuales,XVI_activos_virtuales,0,0,1,5,4,4,0,211514.39,3,preocupante
CLT10371,65919.06,2025-05-25,efectivo,inmobiliaria,V_inmuebles,1,0,0,5,5,6,0,222680.77999999997,2,relevante
CLT10371,4818210.16,2025-10-01,tarjeta,automotriz,VIII_vehiculos,0,0,0,5,10,2,0,4884129.22,2,preocupante
CLT10395,59266.32,2024-11-13,tarjeta,traslado_valores,X_traslado_valores,0,0,1,4,11,2,1,59266.32,1,inusual
CLT10395,9410.54,2024-12-22,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,4,12,6,0,68676.86,2,inusual
CLT10395,8654.83,2025-03-16,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,4,3,6,1,77331.69,3,inusual
CLT10395,1738123.46,2025-06-10,tarjeta,automotriz,VIII_vehiculos,0,0,0,4,6,1,0,1756188.83,3,preocupante
CLT10425,1854.64,2025-03-26,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,3,3,2,0,1854.64,1,relevante
CLT10425,50750.97,2025-05-05,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,3,5,0,0,52605.61,2,inusual
CLT10425,37138.54,2025-08-21,efectivo,traslado_valores,X_traslado_valores,1,0,1,3,8,3,0,89744.15,3,inusual
CLT10455,69013.88,2024-12-28,transferencia_internacional,inmobiliaria,V_inmuebles,0,1,0,4,12,5,0,69013.88,1,inusual
CLT10455,3052.9,2025-02-24,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,4,2,0,0,72066.78,2,relevante
CLT10455,8964.83,2025-08-13,tarjeta,automotriz,VIII_vehiculos,0,0,0,4,8,2,1,12017.73,2,relevante
CLT10455,161186.7,2025-08-21,efectivo,joyeria_metales,XI_joyeria,1,0,0,4,8,3,0,173204.43000000002,3,inusual
CLT10463,7986.34,2024-11-13,transferencia_nacional,automotriz,VIII_vehiculos,0,0,0,7,11,2,1,7986.34,1,relevante
CLT10463,9270.57,2025-04-25,transferencia_internacional,traslado_valores,X_traslado_valores,0,1,1,7,4,4,0,17256.91,2,inusual
CLT10463,44863.89,2025-05-12,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,7,5,0,0,54134.46,2,relevante
CLT10463,25348.89,2025-06-04,efectivo,activos_virtuales,XVI_activos_virtuales,1,0,1,7,6,2,0,79483.35,3,preocupante
CLT10463,103192.71,2025-07-26,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,7,7,5,0,182676.06,4,inusual
CLT10463,2723.96,2025-08-13,transferencia_nacional,joyeria_metales,XI_joyeria,0,0,0,7,8,2,1,185400.02,5,inusual
CLT10463,2244.47,2025-09-23,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,7,9,1,0,187644.49,6,inusual
CLT10464,8133.39,2025-01-12,efectivo,joyeria_metales,XI_joyeria,1,0,0,3,1,6,0,8133.39,1,relevante
CLT10464,141518.09,2025-04-25,transferencia_internacional,activos_virtuales,XVI_activos_virtuales,0,1,1,3,4,4,0,149651.48,2,preocupante
CLT10464,56572.76,2025-06-06,transferencia_internacional,joyeria_metales,XI_joyeria,0,1,0,3,6,4,0,206224.24000000002,3,inusual
CLT10538,3092.77,2024-12-02,transferencia_nacional,inmobiliaria,V_inmuebles,0,0,0,6,12,0,0,3092.77,1,relevante
CLT10538,33077.81,2025-01-16,transferencia_internacional,joyeria_metales,XI_joyeria,0,1,0,6,1,3,1,36170.579999999994,2,inusual
CLT10538,31149.45,2025-03-11,tarjeta,traslado_valores,X_traslado_valores,0,0,1,6,3,1,0,67320.03,3,inusual
CLT10538,34026.04,2025-05-21,efectivo,traslado_valores,X_traslado_valores,1,0,1,6,5,2,0,101346.06999999999,4,inusual
CLT10538,86844.33,2025-06-25,tarjeta,automotriz,VIII_vehiculos,0,0,0,6,6,2,0,185097.63,4,inusual
CLT10538,98485.45,2025-06-30,tarjeta,joyeria_metales,XI_joyeria,0,0,0,6,6,0,0,283583.07999999996,5,inusual
CLT10540,76141.29,2024-11-06,tarjeta,inmobiliaria,V_inmuebles,0,0,0,3,11,2,0,76141.29,1,relevante
CLT10540,8166.48,2024-12-26,transferencia_nacional,activos_virtuales,XVI_activos_virtuales,0,0,1,3,12,3,0,84307.76999999999,2,preocupante
CLT10540,18132.85,2025-08-28,tarjeta,traslado_valores,X_traslado_valores,0,0,1,3,8,3,0,18132.85,1,inusual
CLT10568,56476.81,2025-01-31,efectivo,automotriz,VIII_vehiculos,1,0,0,4,1,4,0,56476.81,1,relevante
CLT10568,8848.52,2025-05-07,transferencia_nacional,traslado_valores,X_traslado_valores,0,0,1,4,5,2,0,65325.33,2,inusual
