thr_preocupante,thr_inusual,reward,fn_preocupante,fp_preocupante,total_cost
0.1,0.1,-302250.0,0,5,302250.0
0.1,0.15000000000000002,-302250.0,0,5,302250.0
0.1,0.17500000000000002,-302250.0,0,5,302250.0
0.1,0.2,-302250.0,0,5,302250.0
0.1,0.125,-302250.0,0,5,302250.0
0.17500000000000002,0.1,-302700.0,0,4,302700.0
0.2,0.17500000000000002,-302700.0,0,4,302700.0
0.2,0.15000000000000002,-302700.0,0,4,302700.0
0.2,0.125,-302700.0,0,4,302700.0
0.2,0.1,-302700.0,0,4,302700.0
0.17500000000000002,0.2,-302700.0,0,4,302700.0
0.17500000000000002,0.17500000000000002,-302700.0,0,4,302700.0
0.17500000000000002,0.15000000000000002,-302700.0,0,4,302700.0
0.17500000000000002,0.125,-302700.0,0,4,302700.0
0.15000000000000002,0.15000000000000002,-302700.0,0,4,302700.0
0.15000000000000002,0.2,-302700.0,0,4,302700.0
0.15000000000000002,0.17500000000000002,-302700.0,0,4,302700.0
0.15000000000000002,0.125,-302700.0,0,4,302700.0
0.15000000000000002,0.1,-302700.0,0,4,302700.0
0.125,0.2,-302700.0,0,4,302700.0
0.125,0.17500000000000002,-302700.0,0,4,302700.0
0.125,0.15000000000000002,-302700.0,0,4,302700.0
0.125,0.125,-302700.0,0,4,302700.0
0.125,0.1,-302700.0,0,4,302700.0
0.2,0.2,-302700.0,0,4,302700.0
